ward_number,municipality,district,province
11,Bagmati Municipality,Sarlahi,Madhesh Province
12,Bagmati Municipality,Sarlahi,Madhesh Province
1,Balara Municipality,Sarlahi,Madhesh Province
2,Balara Municipality,Sarlahi,Madhesh Province
3,Balara Municipality,Sarlahi,Madhesh Province
4,Balara Municipality,Sarlahi,Madhesh Province
5,Balara Municipality,Sarlahi,Madhesh Province
6,Balara Municipality,Sarlahi,Madhesh Province
7,Balara Municipality,Sarlahi,Madhesh Province
8,Balara Municipality,Sarlahi,Madhesh Province
9,Balara Municipality,Sarlahi,Madhesh Province
10,Balara Municipality,Sarlahi,Madhesh Province
11,Balara Municipality,Sarlahi,Madhesh Province
1,Barahathwa Municipality,Sarlahi,Madhesh Province
2,Barahathwa Municipality,Sarlahi,Madhesh Province
3,Barahathwa Municipality,Sarlahi,Madhesh Province
4,Barahathwa Municipality,Sarlahi,Madhesh Province
5,Barahathwa Municipality,Sarlahi,Madhesh Province
6,Barahathwa Municipality,Sarlahi,Madhesh Province
7,Barahathwa Municipality,Sarlahi,Madhesh Province
8,Barahathwa Municipality,Sarlahi,Madhesh Province
9,Barahathwa Municipality,Sarlahi,Madhesh Province
10,Barahathwa Municipality,Sarlahi,Madhesh Province
11,Barahathwa Municipality,Sarlahi,Madhesh Province
12,Barahathwa Municipality,Sarlahi,Madhesh Province
13,Barahathwa Municipality,Sarlahi,Madhesh Province
14,Barahathwa Municipality,Sarlahi,Madhesh Province
15,Barahathwa Municipality,Sarlahi,Madhesh Province
16,Barahathwa Municipality,Sarlahi,Madhesh Province
17,Barahathwa Municipality,Sarlahi,Madhesh Province
18,Barahathwa Municipality,Sarlahi,Madhesh Province
1,Godaita Municipality,Sarlahi,Madhesh Province
2,Godaita Municipality,Sarlahi,Madhesh Province
3,Godaita Municipality,Sarlahi,Madhesh Province
4,Godaita Municipality,Sarlahi,Madhesh Province
5,Godaita Municipality,Sarlahi,Madhesh Province
6,Godaita Municipality,Sarlahi,Madhesh Province
7,Godaita Municipality,Sarlahi,Madhesh Province
8,Godaita Municipality,Sarlahi,Madhesh Province
9,Godaita Municipality,Sarlahi,Madhesh Province
10,Godaita Municipality,Sarlahi,Madhesh Province
11,Godaita Municipality,Sarlahi,Madhesh Province
12,Godaita Municipality,Sarlahi,Madhesh Province
1,Hariwan Municipality,Sarlahi,Madhesh Province
2,Hariwan Municipality,Sarlahi,Madhesh Province
3,Hariwan Municipality,Sarlahi,Madhesh Province
4,Hariwan Municipality,Sarlahi,Madhesh Province
5,Hariwan Municipality,Sarlahi,Madhesh Province
6,Hariwan Municipality,Sarlahi,Madhesh Province
7,Hariwan Municipality,Sarlahi,Madhesh Province
8,Hariwan Municipality,Sarlahi,Madhesh Province
9,Hariwan Municipality,Sarlahi,Madhesh Province
10,Hariwan Municipality,Sarlahi,Madhesh Province
11,Hariwan Municipality,Sarlahi,Madhesh Province
1,Haripur Municipality,Sarlahi,Madhesh Province
2,Haripur Municipality,Sarlahi,Madhesh Province
3,Haripur Municipality,Sarlahi,Madhesh Province
4,Haripur Municipality,Sarlahi,Madhesh Province
5,Haripur Municipality,Sarlahi,Madhesh Province
6,Haripur Municipality,Sarlahi,Madhesh Province
7,Haripur Municipality,Sarlahi,Madhesh Province
8,Haripur Municipality,Sarlahi,Madhesh Province
9,Haripur Municipality,Sarlahi,Madhesh Province
1,Haripurwa Municipality,Sarlahi,Madhesh Province
2,Haripurwa Municipality,Sarlahi,Madhesh Province
3,Haripurwa Municipality,Sarlahi,Madhesh Province
4,Haripurwa Municipality,Sarlahi,Madhesh Province
5,Haripurwa Municipality,Sarlahi,Madhesh Province
6,Haripurwa Municipality,Sarlahi,Madhesh Province
7,Haripurwa Municipality,Sarlahi,Madhesh Province
8,Haripurwa Municipality,Sarlahi,Madhesh Province
9,Haripurwa Municipality,Sarlahi,Madhesh Province
1,Ishowrpur Municipality,Sarlahi,Madhesh Province
2,Ishowrpur Municipality,Sarlahi,Madhesh Province
3,Ishowrpur Municipality,Sarlahi,Madhesh Province
4,Ishowrpur Municipality,Sarlahi,Madhesh Province
5,Ishowrpur Municipality,Sarlahi,Madhesh Province
6,Ishowrpur Municipality,Sarlahi,Madhesh Province
7,Ishowrpur Municipality,Sarlahi,Madhesh Province
8,Ishowrpur Municipality,Sarlahi,Madhesh Province
9,Ishowrpur Municipality,Sarlahi,Madhesh Province
10,Ishowrpur Municipality,Sarlahi,Madhesh Province
11,Ishowrpur Municipality,Sarlahi,Madhesh Province
12,Ishowrpur Municipality,Sarlahi,Madhesh Province
13,Ishowrpur Municipality,Sarlahi,Madhesh Province
14,Ishowrpur Municipality,Sarlahi,Madhesh Province
15,Ishowrpur Municipality,Sarlahi,Madhesh Province
1,Kabilasi Municipality,Sarlahi,Madhesh Province
2,Kabilasi Municipality,Sarlahi,Madhesh Province
3,Kabilasi Municipality,Sarlahi,Madhesh Province
4,Kabilasi Municipality,Sarlahi,Madhesh Province
5,Kabilasi Municipality,Sarlahi,Madhesh Province
6,Kabilasi Municipality,Sarlahi,Madhesh Province
7,Kabilasi Municipality,Sarlahi,Madhesh Province
8,Kabilasi Municipality,Sarlahi,Madhesh Province
9,Kabilasi Municipality,Sarlahi,Madhesh Province
10,Kabilasi Municipality,Sarlahi,Madhesh Province
1,Lalbandi Municipality,Sarlahi,Madhesh Province
2,Lalbandi Municipality,Sarlahi,Madhesh Province
3,Lalbandi Municipality,Sarlahi,Madhesh Province
4,Lalbandi Municipality,Sarlahi,Madhesh Province
5,Lalbandi Municipality,Sarlahi,Madhesh Province
6,Lalbandi Municipality,Sarlahi,Madhesh Province
7,Lalbandi Municipality,Sarlahi,Madhesh Province
8,Lalbandi Municipality,Sarlahi,Madhesh Province
9,Lalbandi Municipality,Sarlahi,Madhesh Province
10,Lalbandi Municipality,Sarlahi,Madhesh Province
11,Lalbandi Municipality,Sarlahi,Madhesh Province
12,Lalbandi Municipality,Sarlahi,Madhesh Province
13,Lalbandi Municipality,Sarlahi,Madhesh Province
